CALL SIGN,COMPANY ,FREQUENCY,DISTRICT,REGION
Voice of Bugisu,Eastern Eye Publications,102.6,Mbale,
BBC,BBC World Service,107.3,Mbale,
Jogo FM,Nawa Multi - Services Limited,93.8,Busia,
Baaba FM,Basoga Baino FM,87.7,Jinja,
Kiira FM,Radio Kiira Ltd,88.6,Jinja,
Smart FM,Nkabi Broadcasting Services,89,Jinja,"Jinja, Buyende, Kaliro, Kamuli, Namutamba, Iganga, Bugiri, Mayuge, Buikwe, Luuka, Namayingo, "
Khodeyo,Nkabi Broadcasting Services,89.4,Jinja,
Voice of Busoga,Voice of Busoga,89.8,Jinja,
Key FM,Kintest Enterprises Ltd,91.1,Iganga,
Citizen Radio,Royal Media Services Limited,91.7,Jinja,
VBN,Victoria Broadcasting Network Limited,92.5,Jinja,
Impact FM,Christian Radio Network,92.9,Bugiri,
Eye FM,Nalugoli & Company Limited,94.6,Iganga,
Star FM,Uganda Broadcasting Coporation,95.7,Jinja,
Busoga FM,Radio Management Service,96,Jinja,
Source FM,Intraco (U) Ltd,98.2,Jinja,
Eastern Voice,Apex Promotions Ltd,102.3,Bugiri,
Apex FM,Apex Promotions Ltd,103.5,Jinja,
Safari FM,Kigulu Media Promoters,103.9,Mayuge,
Maranatha FM,Busoga Inter District BIDADO,104.7,Jinja,
Sauti FM,Sauti Media Services Ltd,105.5,Jinja,
Endhuba FM,Kamuli Broadcasting Service,105.9,Kamuli,
Ssebo FM,Kyoga Broadcasting Corporation,106.3,Kamuli,
Operations Phillips FM,Operations Phillips Limited,92.1,Jinja,
Bamboo FM,Pajoska Agencies Limited,107.6,Jinja,
Star FM,Uganda Broadcasting Corporation,87.5,Kampala,
Baaba FM,Basoga Baino FM,107,Kampala,
Kaboozi FM,Radio Two Limited ,87.9,Kampala,
Sanyu FM,Radio Sanyu Limited ,88.2,Kampala,
Super FM,Super Station Inc. Limited,88.5,Kampala,"Kampala, Wakiso, Mukono, Luwero, Nakaseke, Nakasongola, Kayunga"
CBS FM,Central Broadcasting Service,88.8,Kampala,
CBS FM,Central Broadcasting Service,89.2,Kampala,
Top Radio,Christian Life Ministries ,89.6,Kampala,
Radio One,Radio One Limited,90,Kampala,
Dembe FM,Dembe Enterprises Limited,90.4,Kampala,
Metro FM,Metro FM,90.8,Kampala,
Capital FM,Capital Radio Limited ,91.3,Kampala,
Busiro FM,Busiro FM (U) Limited,91.6,Busiro,
Prime Radio,Seventh Day Adventist ,91.9,Kampala,
V.O.A,Voice of Africa (UMC for EC&SA),92.3,Kampala,
Bob FM,Source Broadcasting ,92.7,Kampala,
Kingdom FM,Christianity Focus Ministries,93,Kampala,
KFM,Monitor Publications Limited,93.3,Kampala,
Radio France,Radio France International ,93.7,Kampala,
NAMIREMBE HILL FM,NAMIREMBE HILL Diocese,93.9,Kampala,
Radio Bilal,Radio Bilal ,94.1,Kampala,
Radio Sapiensa,Uganda Episcopal Conference ,94.4,Kampala,
XFM,New Vision Printing and Publishing Co. Ltd,94.8,Kampala,
Radio West,New Vision Printing and Publishing Co. Ltd,95.2,Kampala,
Buddu FM,Buddu Broadcasting,95.5,Kampala,
Touch FM,Touch FM Radio Limited ,95.9,Kampala,
Beat FM,Capital Radio Limited ,96.3,Kampala,
Spirit FM,Dynamic Broadcasting Services,96.6,Mukono,
Sun FM ,Radio Sky-Net Limited ,96.9,Mityana,
Radio City FM,Jilak FM Limited,97,Kampala,
Radio Simba,Africa FM Limited,97.3,Kampala,
Record FM,Universal Church of the Kingdom of God,97.7,Kampala,
Red Channel,Uganda Broadcasting Corporation,98,Kampala,
Impact FM,Christian Radio Network,98.5,Kampala,
East African FM ,East African FM,99,Kampala,
Radio ABC,Africa Bible College (Radio ABC),99.3,Kampala,
Kampala FM,Christian Life Ministries,99.6,Kampala,
Magic FM,Uganda Broadcasting Corporation,100,Kampala,
GALAXY FM,Blue Cube Limited,100.2,Kampala,
Bukedde FM,New Vision Printing and Publishing Co Ltd,100.5,Kampala,
Hot 100 FM,Family Broadcasting Service,100.9,Kampala,
BBC,BBC World Service,101.3,Kampala,
Maama FM,Uganda Media Women Association ,101.7,Kampala,
Alpha FM,Christian Radio Network,98.7,Kampala,
WBS FM,Wavah Broadcasting Service Ltd,102.1,Kampala,
Tiger Radio,UNESCO  Nabweru ,102.5,Kampala,
Kisaasi FM,Kisaasi Towers ,102.7,Kampala,
Nakaseke FM,UNESCO Nakaseke ,102.9,Kampala,
Dunamis FM,Prayer Palace Ministries,103,Kampala,
UNESCO,UNESCO Buwama,103.3,Kampala,
Arien FM,Arien FM,103.4,Kampala,
Radio Maria,Radio Maria Uganda Association ,103.7,Kampala,
Power FM,Power FM,104.1,Kampala,
Community Radio,Life Resurrection Centre Church,104.5,Kampala,
Suubi FM,Suubi Broadcasting Service Limited,104.9,Kampala,
Family FM,Family Broadcasting Service,105.3,Kampala,
Blue Channel,Uganda Broadcasting Corporation,105.7,Kampala,
Route One,Route One International,106.1,Kampala,
DIGIDA FM,Best Broadcasting Sevices Ltd,106.5,Kampala,
Butebo Channel,Uganda Broadcasting Corporation,107.3,Kampala,
Mboona FM,Gosape Developments,107.6,Mityana,
Musana FM,SIBCO LTD,107.8,Nakaseke,
Innerman Ministriies,United Christian Centre,107.5,Kampala,
